step,Df,Da,EeIndex8,Rudder,TrueVwr,Me1Sw_com_temp,Me1Nms,Me1Load,Me1Main_brg_lo_in_press,Me1Axial_vib,Me1Main_brg_lo_in_temp,Me1Thrust_bearing_pad_temp
0,0.932331,0.774291,0.939808,0.503121,0.230710,0.986089,0.401359,0.000000,0.333333,0.033642,0.220490,0.000000
1,0.939850,0.774291,0.939808,0.503121,0.234731,0.983287,0.401359,0.000000,0.333333,0.033642,0.220490,0.000000
2,0.945865,0.772267,0.939808,0.503121,0.265231,0.988991,0.401359,0.000000,0.166667,0.033642,0.220490,0.000000
3,0.924812,0.782389,0.939808,0.503121,0.259776,0.986589,0.401359,0.000000,0.166667,0.033642,0.220490,0.000000
4,0.924060,0.763158,0.939808,0.503121,0.239724,0.980785,0.401359,0.000000,0.333333,0.033642,0.232461,0.000000
5,0.937594,0.773279,0.939808,0.503121,0.238905,0.976281,0.401359,0.000000,0.333333,0.033642,0.248330,0.000000
6,0.934586,0.768219,0.939808,0.503121,0.252426,0.979283,0.401359,0.000000,0.333333,0.033642,0.248330,0.000000
7,0.923308,0.765182,0.939808,0.503121,0.236344,0.972978,0.401359,0.000000,0.333333,0.033642,0.248330,0.000000
8,0.938346,0.788462,0.939808,0.503121,0.229788,0.980785,0.241533,0.056677,0.333333,0.656013,0.248330,0.000000
9,0.932331,0.737854,0.958556,0.503121,0.216523,0.972278,0.193185,0.063005,0.333333,0.913373,0.231069,0.000000
10,0.933083,0.713563,0.941447,0.501802,0.211836,0.979684,0.264334,0.038228,0.333333,0.767031,0.192650,0.000000
11,0.918045,0.781377,0.872638,0.502124,0.221184,0.990492,0.500574,0.042706,0.333333,0.343146,0.192650,0.000945
12,0.908271,0.784413,0.975988,0.899765,0.236677,0.984588,0.633866,0.080770,0.333333,0.883936,0.204621,0.009213
13,0.915038,0.770243,0.986690,0.998574,0.256345,0.985488,0.632909,0.084756,0.333333,0.862069,0.211581,0.022598
14,0.938346,0.783401,0.986268,1.000000,0.256575,0.985488,0.632574,0.091261,0.333333,0.858705,0.220490,0.040945
15,0.936090,0.784413,0.981053,0.899535,0.260698,0.976281,0.632526,0.096055,0.333333,0.857023,0.220490,0.050551
16,0.942857,0.764170,0.977006,0.830831,0.263387,0.989792,0.642960,0.120737,0.333333,0.849453,0.220490,0.062598
17,0.934586,0.758097,0.980880,0.576073,0.249738,0.990793,0.771398,0.447473,0.333333,0.802355,0.235245,0.075433
18,0.925564,0.745951,0.972784,0.451163,0.254834,0.990793,0.794841,0.512738,0.333333,0.731707,0.248330,0.100551
19,0.915789,0.750000,0.958804,0.396476,0.273272,0.992294,0.801637,0.344912,0.333333,0.791421,0.248330,0.138583
20,0.907519,0.761134,0.935735,0.450059,0.257446,0.993795,0.731215,0.261129,0.333333,0.827586,0.267817,0.189764
21,0.909023,0.758097,0.895930,0.390388,0.249891,0.990793,0.640950,0.090152,0.333333,0.861228,0.288140,0.217559
22,0.899248,0.754049,0.890616,0.372000,0.244693,0.990793,0.640059,0.087015,0.333333,0.855341,0.335189,0.220472
23,0.904511,0.776316,0.836483,0.338123,0.256114,0.990793,0.546616,0.045980,0.333333,0.609756,0.369989,0.214567
24,0.907519,0.789474,0.844260,0.018986,0.272376,0.990793,0.401359,0.000548,0.200000,0.038688,0.368597,0.203307
25,0.908271,0.801619,0.852037,0.005797,0.234475,0.990793,0.401359,0.000000,0.300000,0.033642,0.379176,0.191339
26,0.915038,0.790486,0.859815,0.006564,0.239520,0.990793,0.401359,0.000000,0.200000,0.033642,0.399499,0.173386
27,0.915789,0.792510,0.867592,0.003297,0.244667,0.990793,0.401359,0.000000,0.333333,0.033642,0.387528,0.154961
28,0.908271,0.784413,0.875369,0.004325,0.256037,0.987490,0.618647,0.089166,0.333333,0.788898,0.386136,0.141575
29,0.918797,0.765182,0.900946,0.004861,0.272888,0.985588,0.630487,0.078250,0.333333,0.874685,0.342149,0.133858
30,0.908271,0.812753,0.854461,0.338921,0.282184,0.976281,0.259089,0.044651,0.233333,0.688814,0.326281,0.139134
31,0.907519,0.714575,0.900127,0.503121,0.265282,0.986789,0.174883,0.082112,0.300000,0.953743,0.297049,0.140000
32,0.908271,0.606275,0.929403,0.503351,0.271787,0.982086,0.123959,0.112656,0.333333,0.945332,0.268653,0.133858
33,0.914286,0.594130,0.940578,0.503780,0.275859,0.980785,0.124342,0.119778,0.333333,0.957948,0.248330,0.127953
34,0.936090,0.660931,0.951926,0.503274,0.273349,0.987490,0.124629,0.115655,0.333333,0.958789,0.223831,0.119685
35,0.930075,0.628543,0.956942,0.503167,0.250711,0.981085,0.171695,0.080126,0.333333,0.947855,0.220490,0.111417
36,0.936090,0.700405,0.962802,0.503121,0.256985,0.975580,0.189308,0.066703,0.333333,0.942809,0.220490,0.110236
37,0.921805,0.739879,0.936952,0.503121,0.266050,0.980084,0.365014,0.007780,0.166667,0.374264,0.220490,0.103150
