step,Df,Da,EeIndex8,Rudder,TrueVwr,Me1Sw_com_temp,Me1Nms,Me1Load,Me1Main_brg_lo_in_press,Me1Axial_vib,Me1Main_brg_lo_in_temp,Me1Thrust_bearing_pad_temp
0,0.649628,0.594276,0.990373,0.523218,0.191251,0.812454,0.381508,0.000000,0.166667,0.018248,0.641873,0.000000
1,0.650398,0.587542,0.990373,0.523140,0.208809,0.813190,0.381508,0.000000,0.166667,0.018248,0.641873,0.000000
2,0.651169,0.586700,0.990373,0.523343,0.215400,0.815951,0.381508,0.000000,0.166667,0.018248,0.641873,0.000000
3,0.650141,0.586700,0.990373,0.522953,0.235992,0.812761,0.381508,0.000000,0.166667,0.018248,0.641873,0.000000
4,0.648857,0.569865,0.990373,0.522797,0.242781,0.810736,0.381508,0.000000,0.166667,0.018248,0.641873,0.000000
5,0.648600,0.574074,0.990373,0.522641,0.225944,0.815951,0.381508,0.000000,0.166667,0.018248,0.641873,0.000000
6,0.644747,0.578283,0.990373,0.522485,0.218260,0.813804,0.344116,0.010254,0.166667,0.198905,0.641873,0.000000
7,0.645004,0.525253,0.990373,0.523140,0.209729,0.815521,0.131593,0.077442,0.166667,1.000000,0.641873,0.004472
8,0.643719,0.537037,0.994326,0.524046,0.206471,0.815951,0.154610,0.059286,0.166667,0.916058,0.641873,0.007710
9,0.643719,0.518519,0.963834,0.524046,0.200527,0.815951,0.376125,0.001033,0.166667,0.171533,0.641873,0.009329
10,0.644233,0.549663,0.969337,0.524046,0.213410,0.815951,0.381508,0.000000,0.166667,0.018248,0.641873,0.020200
11,0.648857,0.548822,0.974840,0.524327,0.222065,0.818896,0.381508,0.000000,0.166667,0.018248,0.641873,0.023130
12,0.648343,0.559764,0.980343,0.523375,0.216568,0.822086,0.381508,0.000000,0.166667,0.018248,0.641873,0.023130
13,0.650655,0.574074,0.985846,0.524046,0.216270,0.822086,0.435175,0.021583,0.166667,0.165146,0.641873,0.023130
14,0.653994,0.574916,0.991349,0.524155,0.213261,0.822086,0.644248,0.103255,0.166667,0.896898,0.652066,0.023130
15,0.653994,0.585017,0.991105,0.524046,0.227412,0.822086,0.453860,0.023763,0.166667,0.338504,0.669421,0.032768
16,0.651683,0.586700,0.991382,0.524015,0.217389,0.822086,0.381508,0.000000,0.166667,0.018248,0.669421,0.045335
17,0.652710,0.579125,0.991659,0.524046,0.215275,0.824847,0.381508,0.000000,0.166667,0.018248,0.656474,0.046261
18,0.652710,0.590067,0.991936,0.524046,0.214877,0.822086,0.381508,0.000000,0.166667,0.018248,0.669421,0.046261
19,0.651169,0.570707,0.992213,0.524046,0.201920,0.817914,0.381508,0.000000,0.166667,0.018248,0.669421,0.046261
20,0.650141,0.586700,0.992489,0.524046,0.197642,0.814233,0.381508,0.000000,0.166667,0.018248,0.669421,0.046029
21,0.652967,0.584175,0.992766,0.524046,0.191972,0.814847,0.381508,0.000000,0.166667,0.018248,0.666667,0.038551
22,0.652710,0.576599,0.993043,0.524046,0.192047,0.815951,0.381508,0.000000,0.166667,0.018248,0.641873,0.038551
