time_step,bearing_temp,engine_speed,engine_load,lub_oil_inlet_temp,lub_oil_pressure,axial_vibration,engine_st_aft_brg_temp1,engine_intermed_shaft_brg_temp,cooling_water_temp,engine_air_temp,status,draft_fore,draft_aft,vs,relative_wind_speed,energy_efficiency_index,rudder_angle,depth
0.000377,0.729621,0.915552,0.608675,0.712972,0.944862,0.838601,0.762236,0.763809,0.854344,0.826020,1.000000,0.012506,0.061256,0.935375,0.246131,0.870457,0.503913,0.155693
0.000388,0.730266,0.918101,0.606474,0.713074,0.945439,0.841898,0.762348,0.762784,0.855570,0.828251,1.000000,0.013158,0.054452,0.934497,0.247289,0.868487,0.504141,0.158568
0.000400,0.727865,0.917764,0.606408,0.714252,0.944499,0.837865,0.760854,0.762592,0.861075,0.829945,1.000000,0.013842,0.057280,0.935293,0.225607,0.868844,0.501081,0.162078
0.000412,0.728952,0.916255,0.602825,0.714955,0.944537,0.837945,0.762148,0.771002,0.859145,0.830365,0.999563,0.014647,0.057142,0.936487,0.241061,0.868367,0.502330,0.164206
0.000424,0.730527,0.918568,0.603293,0.713853,0.943891,0.837796,0.763163,0.773237,0.860541,0.829179,1.000000,0.012598,0.055418,0.935870,0.248469,0.867053,0.506045,0.169101
0.000436,0.728831,0.916888,0.603025,0.713866,0.946098,0.840248,0.760594,0.773507,0.859403,0.826927,1.000000,0.011990,0.054516,0.937410,0.236943,0.868507,0.507895,0.170026
0.000447,0.729244,0.917565,0.603258,0.714932,0.944518,0.837261,0.763799,0.771110,0.864587,0.831411,1.000000,0.012701,0.053918,0.932767,0.251071,0.869223,0.507045,0.174260
0.000459,0.728070,0.914603,0.600492,0.718300,0.942800,0.835652,0.762833,0.772133,0.866762,0.832089,1.000000,0.010939,0.054263,0.932351,0.259696,0.867356,0.506812,0.179072
0.000471,0.728771,0.917315,0.599430,0.717832,0.945086,0.833553,0.767042,0.774751,0.872289,0.831755,0.999638,0.012876,0.053783,0.931018,0.241549,0.868902,0.512810,0.180592
0.000483,0.728947,0.917349,0.597850,0.723745,0.945931,0.831795,0.767431,0.773538,0.874539,0.834144,0.999367,0.010953,0.051551,0.931466,0.281142,0.868592,0.511712,0.186162
