step,Df,Da,EeIndex8,Rudder,TrueVwr,Me1Sw_com_temp,Me1Nms,Me1Load,Me1Main_brg_lo_in_press,Me1Axial_vib,Me1Main_brg_lo_in_temp,Me1Thrust_bearing_pad_temp
0,0.961431,0.784601,0.998737,0.500000,0.119934,0.847016,0.344910,0.000000,0.944882,0.015994,0.282522,0.000000
1,0.961431,0.780018,0.998737,0.503243,0.112773,0.847016,0.563849,0.078074,0.944882,0.685453,0.282522,0.000000
2,0.968139,0.786434,0.991322,0.500000,0.098730,0.847016,0.424555,0.023852,0.937008,0.309977,0.290024,0.000516
3,0.956400,0.791017,0.988554,0.500000,0.096556,0.847016,0.344072,0.000026,0.933071,0.007616,0.298484,0.006452
4,0.968698,0.787351,0.985786,0.500000,0.094276,0.850730,0.344072,0.000000,0.937008,0.007616,0.298484,0.006452
5,0.967021,0.789184,0.983018,0.500000,0.091101,0.853531,0.344072,0.000000,0.929134,0.007616,0.298484,0.006452
6,0.965903,0.790101,0.980249,0.500000,0.096791,0.853531,0.344072,0.000000,0.944882,0.007616,0.298484,0.006452
7,0.964785,0.777269,0.977481,0.500000,0.131867,0.853531,0.344072,0.000000,0.944882,0.007616,0.298484,0.009677
8,0.971492,0.779102,0.974713,0.500000,0.110749,0.853531,0.260785,0.021636,0.933071,0.538462,0.298484,0.008839
9,0.970375,0.794684,0.977177,0.500000,0.106977,0.853531,0.344072,0.000422,0.913386,0.007616,0.292099,0.006452
10,0.972051,0.791017,0.979641,0.500000,0.099753,0.853531,0.344072,0.000000,0.929134,0.007616,0.282522,0.006452
11,0.967580,0.785518,0.982105,0.500000,0.115416,0.853531,0.344072,0.000000,0.905512,0.007616,0.282522,0.007935
12,0.972051,0.791017,0.984569,0.500000,0.120956,0.853531,0.344072,0.000000,0.944882,0.007616,0.282522,0.012903
13,0.972610,0.778185,0.987033,0.500000,0.113775,0.853531,0.344072,0.000000,0.944882,0.007616,0.282522,0.011419
14,0.967580,0.787351,0.989496,0.500000,0.110046,0.853531,0.344072,0.000000,0.929134,0.007616,0.281724,0.006452
15,0.972051,0.794684,0.991960,0.708829,0.118527,0.853531,0.547436,0.078364,0.944882,0.549886,0.266560,0.006452
16,0.968139,0.790101,0.994052,0.786714,0.114244,0.853531,0.592781,0.085066,0.944882,0.749429,0.283001,0.012065
17,0.966462,0.781852,0.991553,0.785714,0.145783,0.853531,0.591439,0.085660,0.944882,0.741051,0.298484,0.015677
18,0.966462,0.778185,0.988715,0.785714,0.140476,0.853531,0.594302,0.086346,0.944882,0.734196,0.298484,0.021806
19,0.964785,0.771769,0.986433,0.785714,0.093424,0.856789,0.591319,0.087863,0.944882,0.733435,0.298484,0.027935
20,0.965903,0.768103,0.984070,0.798229,0.087755,0.858548,0.591978,0.088391,0.944882,0.726580,0.298484,0.036452
21,0.967580,0.753437,0.981897,1.000000,0.103780,0.860047,0.592457,0.088391,0.944882,0.724296,0.298484,0.044000
22,0.964785,0.752521,0.979711,1.000000,0.114947,0.860047,0.592242,0.088430,0.944882,0.722772,0.298484,0.048581
23,0.966462,0.725940,0.977796,1.000000,0.108554,0.860047,0.592757,0.088958,0.944882,0.718203,0.311732,0.056774
24,0.961431,0.741522,0.975922,1.000000,0.097878,0.860047,0.592541,0.088285,0.944882,0.718964,0.314445,0.058387
25,0.959754,0.738772,0.974333,1.000000,0.109300,0.860047,0.593260,0.087269,0.944882,0.719726,0.320032,0.064516
26,0.956400,0.738772,0.972907,1.000000,0.097068,0.860047,0.592254,0.086240,0.944882,0.716679,0.314445,0.070710
27,0.958636,0.718607,0.971332,1.000000,0.101394,0.860047,0.593140,0.085383,0.944882,0.715918,0.323224,0.074387
28,0.958636,0.728689,0.969838,1.000000,0.092081,0.860047,0.592901,0.085752,0.944882,0.718203,0.318436,0.078710
29,0.960872,0.748854,0.966510,1.000000,0.082619,0.860047,0.543326,0.064485,0.944882,0.647372,0.322745,0.083871
30,0.961990,0.759853,0.965094,0.999800,0.102054,0.862653,0.344072,0.000818,0.937008,0.009139,0.329609,0.086452
31,0.961431,0.769936,0.963678,0.999729,0.104207,0.866562,0.344072,0.000000,0.933071,0.007616,0.314445,0.086258
