step,Df,Da,EeIndex8,Rudder,TrueVwr,Me1Sw_com_temp,Me1Nms,Me1Load,Me1Main_brg_lo_in_press,Me1Axial_vib,Me1Main_brg_lo_in_temp,Me1Thrust_bearing_pad_temp
0,0.979818,0.774983,0.979838,0.989085,0.267621,0.902425,0.337179,0.000000,0.298246,0.004435,0.132075,0.019608
1,0.984375,0.783368,0.979838,0.993927,0.271543,0.902425,0.337179,0.000000,0.298246,0.004435,0.132075,0.019608
2,0.984375,0.778477,0.979838,0.990188,0.275639,0.900256,0.337179,0.000000,0.298246,0.004435,0.132075,0.019608
3,0.984375,0.781272,0.979838,0.989056,0.294420,0.902425,0.337179,0.000000,0.298246,0.004435,0.132075,0.019608
4,0.984375,0.779874,0.979838,0.990833,0.287535,0.902425,0.337179,0.000000,0.298246,0.004435,0.132075,0.019608
5,0.982422,0.779874,0.979838,0.996748,0.288123,0.902425,0.337179,0.000000,0.298246,0.004435,0.126415,0.019608
6,0.990234,0.779874,0.979838,0.996433,0.288603,0.902425,0.337179,0.000000,0.298246,0.004435,0.122264,0.019608
7,0.990885,0.779874,0.979838,0.996963,0.278667,0.902425,0.337179,0.000000,0.298246,0.004435,0.113208,0.019608
8,0.981120,0.777079,0.979838,0.851759,0.297427,0.902425,0.388980,0.012773,0.298246,0.171471,0.113208,0.019608
9,0.981771,0.775681,0.979838,0.920587,0.280803,0.902425,0.589150,0.084466,0.298246,0.711752,0.120377,0.019608
10,0.983724,0.782669,0.976079,0.504369,0.286533,0.902425,0.582389,0.080224,0.298246,0.705100,0.138113,0.019608
11,0.981120,0.777079,0.972631,0.403498,0.296555,0.902425,0.582294,0.083515,0.298246,0.691057,0.150943,0.023333
12,0.990234,0.779874,0.859723,0.483140,0.286685,0.902425,0.368328,0.007825,0.298246,0.164080,0.148679,0.029216
13,0.977865,0.786862,0.861349,0.203346,0.303832,0.902425,0.337179,0.000000,0.298246,0.011826,0.132075,0.032810
14,0.988281,0.783368,0.862975,0.059044,0.301065,0.902425,0.337179,0.000000,0.298246,0.011826,0.132075,0.039216
15,0.996745,0.783368,0.864602,0.009812,0.292677,0.902425,0.337179,0.000000,0.298246,0.011826,0.132075,0.039216
16,0.983724,0.779874,0.866228,0.022818,0.293287,0.902425,0.337179,0.000000,0.228070,0.011826,0.132075,0.039216
17,0.981771,0.783368,0.867854,0.022919,0.285378,0.902425,0.337179,0.000000,0.298246,0.011826,0.132075,0.036797
18,0.986328,0.779874,0.869480,0.021844,0.293091,0.902425,0.337179,0.000000,0.298246,0.011826,0.132075,0.032680
19,1.000000,0.782669,0.871106,0.020054,0.290324,0.902425,0.337179,0.000000,0.298246,0.011826,0.132075,0.032680
20,0.996094,0.777079,0.872733,0.011431,0.274179,0.902425,0.337179,0.000000,0.298246,0.011826,0.132075,0.032680
21,0.977865,0.779874,0.874359,0.004469,0.270846,0.902425,0.337179,0.000000,0.298246,0.011826,0.132075,0.030261
22,0.981771,0.779874,0.875985,0.005730,0.283374,0.902425,0.337179,0.000000,0.298246,0.011826,0.132075,0.026144
23,0.985677,0.779874,0.877611,0.006188,0.275007,0.902425,0.337179,0.000000,0.210526,0.011826,0.127736,0.026144
24,0.987630,0.779874,0.879238,0.006546,0.279561,0.902425,0.337179,0.000000,0.298246,0.011826,0.121321,0.026144
25,0.988281,0.779175,0.880864,0.003438,0.269647,0.902425,0.337179,0.000000,0.298246,0.011826,0.113208,0.026144
26,0.988932,0.777079,0.882490,0.004049,0.308234,0.902425,0.337179,0.000000,0.298246,0.011826,0.113208,0.026144
27,0.986328,0.779874,0.884116,0.004660,0.311567,0.902425,0.337179,0.000000,0.298246,0.011826,0.113208,0.023399
28,0.997396,0.779874,0.885742,0.005271,0.319868,0.902425,0.337179,0.000000,0.298246,0.011826,0.113208,0.019608
29,0.987630,0.783368,0.887369,0.005415,0.310151,0.902425,0.337179,0.000000,0.228070,0.011826,0.113208,0.019608
30,0.990885,0.779874,0.888995,0.012963,0.285531,0.902425,0.337179,0.000000,0.298246,0.011826,0.113208,0.019608
31,0.990885,0.784766,0.890621,0.014439,0.286380,0.902425,0.337179,0.000000,0.298246,0.011826,0.113208,0.019608
32,0.994792,0.781272,0.892247,0.195411,0.261172,0.902425,0.424243,0.034091,0.210526,0.211382,0.113208,0.019608
33,0.981120,0.772886,0.981825,0.554733,0.263351,0.902425,0.599139,0.102748,0.298246,0.715447,0.120189,0.019608
34,0.981120,0.767296,0.981809,0.789578,0.294355,0.902425,0.669358,0.204278,0.298246,0.727273,0.138113,0.019608
35,0.973307,0.753319,0.975685,0.761631,0.283352,0.902425,0.669831,0.215126,0.298246,0.725055,0.150943,0.027320
36,0.974609,0.715584,0.969593,0.791010,0.308452,0.902425,0.672195,0.222926,0.298246,0.721360,0.150943,0.040523
37,0.975911,0.729560,0.964093,0.785982,0.293178,0.899909,0.673495,0.222719,0.298246,0.726534,0.150943,0.057843
38,0.976562,0.719078,0.960137,0.501418,0.302046,0.895570,0.671545,0.215674,0.298246,0.733925,0.157170,0.071699
39,0.972005,0.741440,0.956410,0.501346,0.273177,0.893748,0.672786,0.217344,0.298246,0.736142,0.169811,0.086797
40,0.965495,0.744934,0.957543,0.398871,0.283940,0.894312,0.719622,0.377537,0.298246,0.701404,0.169811,0.100131
41,0.949870,0.751223,0.954981,0.426245,0.290280,0.898087,0.746315,0.438784,0.298246,0.712491,0.191887,0.112418
42,0.935547,0.755416,0.951024,0.416060,0.281195,0.898087,0.766411,0.490341,0.298246,0.729490,0.207547,0.128627
43,0.941406,0.775681,0.949136,0.554919,0.279975,0.898087,0.800303,0.526540,0.298246,0.768662,0.207547,0.148366
44,0.924479,0.748428,0.943620,0.437962,0.263372,0.901514,0.804724,0.498373,0.298246,0.793792,0.207547,0.169935
45,0.907552,0.761705,0.937676,0.531041,0.264331,0.902425,0.805658,0.487111,0.298246,0.802661,0.220377,0.194118
46,0.889323,0.744235,0.932111,0.549719,0.282502,0.902425,0.805504,0.480163,0.298246,0.813008,0.226415,0.216144
47,0.881510,0.750524,0.926726,0.514997,0.295510,0.902425,0.804322,0.469255,0.298246,0.818921,0.226415,0.237712
48,0.871745,0.758910,0.924394,0.547112,0.305379,0.902425,0.826617,0.518033,0.298246,0.792313,0.207925,0.253268
49,0.853516,0.749126,0.922046,0.511674,0.286054,0.902425,0.839703,0.571577,0.298246,0.781227,0.196604,0.273660
50,0.836589,0.750524,0.917121,0.525669,0.304900,0.904595,0.841275,0.556646,0.298246,0.769401,0.193962,0.291373
51,0.827474,0.763103,0.913903,0.535839,0.334074,0.902425,0.849136,0.585898,0.298246,0.776792,0.207547,0.305556
52,0.811198,0.748428,0.912179,0.513178,0.313920,0.902425,0.861549,0.610641,0.298246,0.837398,0.207547,0.322222
53,0.798177,0.747729,0.908206,0.521372,0.306556,0.904551,0.862554,0.608313,0.298246,0.826312,0.207547,0.338562
54,0.777995,0.740042,0.903691,0.513006,0.312853,0.903206,0.863109,0.602170,0.298246,0.827790,0.224906,0.356667
55,0.755859,0.761006,0.900621,0.530840,0.297775,0.904898,0.867601,0.610945,0.298246,0.815965,0.226415,0.368497
56,0.748047,0.770790,0.898240,0.487524,0.331830,0.906764,0.876349,0.622951,0.298246,0.837398,0.224151,0.382549
