step,Df,Da,EeIndex8,Rudder,TrueVwr,Me1Sw_com_temp,Me1Nms,Me1Load,Me1Main_brg_lo_in_press,Me1Axial_vib,Me1Main_brg_lo_in_temp,Me1Thrust_bearing_pad_temp
0,0.961726,0.601504,0.964725,0.498683,0.287677,0.828571,0.195373,0.070805,0.200000,0.876289,0.563750,0.047231
1,0.976384,0.586466,0.962203,0.498654,0.256106,0.826071,0.195509,0.070805,0.200000,0.875430,0.562500,0.053478
2,0.962541,0.570175,0.959533,0.497196,0.250512,0.821429,0.195373,0.070805,0.200000,0.874570,0.562500,0.053478
3,0.962541,0.577694,0.957323,0.497196,0.216173,0.837500,0.194907,0.070805,0.200000,0.875430,0.562500,0.053478
4,0.958469,0.606516,0.956344,0.497196,0.201385,0.821429,0.194325,0.071003,0.200000,0.874570,0.562500,0.053478
5,0.946254,0.634085,0.875380,0.497300,0.172861,0.821429,0.395353,0.000082,0.200000,0.176117,0.562500,0.059442
6,0.938111,0.666667,0.904462,0.498579,0.138355,0.821429,0.406771,0.000000,0.200000,0.000000,0.562500,0.062944
7,0.923453,0.685464,0.933544,0.498609,0.258211,0.821429,0.406771,0.000000,0.200000,0.000000,0.609375,0.065310
8,0.941368,0.646617,0.962626,0.461256,0.276156,0.821429,0.445399,0.017751,0.200000,0.129725,0.625000,0.067866
9,0.961726,0.645363,0.991708,0.021540,0.302077,0.821429,0.649192,0.105137,0.200000,0.863402,0.625000,0.067676
10,0.986971,0.639098,0.991990,0.004165,0.308003,0.821429,0.642208,0.092425,0.200000,0.831615,0.625000,0.079981
11,0.984528,0.641604,0.985908,0.067864,0.389587,0.821429,0.597022,0.068714,0.200000,0.731959,0.625000,0.092570
12,0.998371,0.661654,0.979655,0.500171,0.373415,0.821429,0.407091,0.000000,0.200000,0.002577,0.625000,0.109796
13,0.981270,0.649123,0.973403,0.500171,0.339130,0.821429,0.406771,0.000000,0.200000,0.000000,0.625000,0.110270
14,0.966612,0.647870,0.967150,0.499755,0.307671,0.836071,0.406771,0.000000,0.200000,0.000000,0.686250,0.105632
15,0.974756,0.642857,0.960898,0.596061,0.311327,0.857143,0.544589,0.069241,0.200000,0.462199,0.687500,0.100805
16,0.983713,0.639098,0.935250,0.994600,0.322238,0.838214,0.453548,0.015182,0.200000,0.235395,0.683125,0.096356
17,0.979642,0.646617,0.937355,1.000000,0.287953,0.821429,0.406771,0.000000,0.200000,0.000000,0.625000,0.100805
18,0.977199,0.647870,0.939459,1.000000,0.283412,0.821429,0.406771,0.000000,0.200000,0.000000,0.625000,0.095599
19,0.976384,0.650376,0.941564,0.999851,0.295431,0.821429,0.406771,0.000000,0.200000,0.000000,0.625000,0.090204
